BoroCT2010,RE80_Quad,IE80_Quad,CE80_Quad,RE90_Quad,IE90_Quad,CE90_Quad,RE00_Quad,IE00_Quad,CE00_Quad,RE10_Quad,IE10_Quad,CE10_Quad,RE11_Quad,IE11_Quad,CE11_Quad,RE12_Quad,IE12_Quad,CE12_Quad,RE13_Quad,IE13_Quad,CE13_Quad,RE14_Quad,IE14_Quad,CE14_Quad,RE15_Quad,IE15_Quad,CE15_Quad,RE16_Quad,IE16_Quad,CE16_Quad
3025800,3,3,3,0,3,3,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
3026000,3,3,3,0,3,3,0,3,3,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,2,0,1,1
3026200,3,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1
3026300,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3026400,3,3,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1
3026600,3,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3026700,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3026800,3,3,3,0,3,3,0,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0
3026900,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3027000,3,3,3,0,3,3,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1
3027200,3,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
3027300,3,3,3,3,3,3,3,3,3,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,1,0,0,1,2
3027400,3,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,0,1,1
3027600,3,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1
3027800,3,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
3027900,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
